[2026-04-26 02:48:07.785] [info]  splashScreenPreload: signalReady
[2026-04-26 02:48:07.811] [info]  splashScreenPreload: onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2026-04-26 02:48:07.813] [info]  splashScreenPreload: onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2026-04-26 02:48:07.813] [info]  splashScreenPreload: onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2026-04-26 02:48:07.813] [info]  splashScreenPreload: onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2026-04-26 02:48:07.814] [info]  splashScreenPreload: onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2026-04-26 02:48:07.814] [info]  splashScreenPreload: onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2026-04-26 02:48:07.814] [info]  splashScreenPreload: onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2026-04-26 02:48:09.012] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2026-04-26 02:48:10.118] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2026-04-26 02:48:10.123] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2026-04-26 02:48:10.163] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2026-04-26 02:48:10.200] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2026-04-26 02:48:10.260] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
[2026-04-26 02:48:10.261] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":8}
[2026-04-26 02:48:10.284] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":11}
[2026-04-26 02:48:10.285] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":13}
[2026-04-26 02:48:10.285] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":14}
[2026-04-26 02:48:10.290] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":15}
[2026-04-26 02:48:10.344] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":16}
[2026-04-26 02:48:10.346] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":19}
